层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,27.234739303588867,0.2800312638282776,0.9999397993087769,0.00017103970458265394
1,4.033430099487305,0.06420266628265381,0.9999890327453613,6.699168443446979e-05
2,43.377540588378906,0.4268280267715454,0.9995637536048889,5.7323162764078006e-05
3,19.894622802734375,0.23832274973392487,0.9999909400939941,6.142194251879118e-06
4,12.708939552307129,0.15405741333961487,0.999985933303833,3.4961019991897047e-05
5,19.231468200683594,0.21128830313682556,0.9999892711639404,2.1267516785883345e-05
6,13.935319900512695,0.15970702469348907,0.9999366998672485,2.675590803846717e-05
7,13.762718200683594,0.15922309458255768,0.9997598528862,1.9430130123510025e-05
8,14.743823051452637,0.18101078271865845,0.9998998641967773,1.4445598935708404e-05
9,13.68095874786377,0.170180544257164,0.9999573230743408,1.0094810932059772e-05
10,15.47965145111084,0.18359209597110748,0.9999902248382568,1.873074688774068e-05
11,16.206396102905273,0.1918821483850479,0.9999984502792358,7.37404843675904e-06
12,18.023256301879883,0.20806840062141418,0.9999940395355225,2.200175731559284e-05
13,18.00508689880371,0.2072320580482483,0.9999924898147583,1.3106381629768293e-05
14,18.341205596923828,0.20903511345386505,0.9999992847442627,7.808132977515925e-06
15,16.978559494018555,0.19861221313476562,0.9999885559082031,1.1475965948193334e-05
16,18.214025497436523,0.2071485072374344,0.9999185800552368,1.9598212020355277e-05
17,17.659883499145508,0.20323504507541656,0.9999874830245972,2.4241749997599982e-05
18,18.622819900512695,0.21076633036136627,0.9999569654464722,1.3237307939562015e-05
19,17.54178810119629,0.20115047693252563,0.9999988079071045,7.69491362007102e-06
20,18.98619270324707,0.21617431938648224,0.999946117401123,2.6262353003403405e-06
21,18.168603897094727,0.2079486846923828,0.9995883107185364,6.727797881467268e-06
22,18.150434494018555,0.20792780816555023,0.999984860420227,6.172535449877614e-06
23,18.132266998291016,0.20587272942066193,0.9999924898147583,4.873435500485357e-06
24,19.404069900512695,0.21582898497581482,0.9999786615371704,7.676799214095809e-07
25,20.330669403076172,0.22441713511943817,0.9999995231628418,1.3447611308947671e-06
26,21.902252197265625,0.23851114511489868,0.9999954700469971,2.9264172098919516e-06
27,20.54869270324707,0.22318460047245026,0.9999912977218628,7.26707457943121e-06
28,20.512353897094727,0.22248174250125885,0.9999994039535522,2.4867570118658477e-06
29,20.003633499145508,0.21692603826522827,0.9999837875366211,1.6375128097934066e-06
30,22.056684494018555,0.2358507513999939,0.9999967813491821,7.332767495427106e-07
31,27.07122039794922,0.2773316502571106,0.9999902248382568,5.192509888729546e-06
32,25.481468200683594,0.2645973265171051,0.9999967813491821,4.630241164704785e-06
33,26.435317993164062,0.26978158950805664,0.9999958276748657,4.363849257060792e-06
34,28.234010696411133,0.28474152088165283,0.999910831451416,2.6160391826124396e-06
35,33.839027404785156,0.3343085050582886,0.999990701675415,1.1946327731493511e-06
