层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,31.395349502563477,0.31521034240722656,0.9999961853027344,0.00010271959035890177
1,4.560319900512695,0.07235443592071533,0.9999852180480957,0.00015974932466633618
2,23.446582794189453,0.2453347146511078,0.9998551607131958,3.838327029370703e-05
3,12.454578399658203,0.1794521063566208,0.9999793767929077,8.037930456339382e-06
4,12.35465145111084,0.1323646903038025,0.9999494552612305,3.0905652238288894e-05
5,19.731103897094727,0.222030907869339,0.9999850988388062,9.662948286859319e-06
6,14.425871849060059,0.16600242257118225,0.9999915361404419,1.2393245924613439e-05
7,14.798328399658203,0.16981786489486694,0.9998452663421631,1.3248194591142237e-05
8,16.315406799316406,0.19018734991550446,0.9999585151672363,2.200719427492004e-05
9,14.771075248718262,0.17745086550712585,0.9999977350234985,6.067794402042637e-06
10,16.924055099487305,0.19786599278450012,0.9999946355819702,2.3819586203899235e-05
11,16.333576202392578,0.19604547321796417,0.9999996423721313,6.669854883512016e-06
12,20.21257209777832,0.22421440482139587,0.9999995231628418,8.561290087527595e-06
13,19.49491310119629,0.2179773896932602,0.9999927282333374,6.1641349020646885e-06
14,20.403343200683594,0.22748321294784546,0.9999996423721313,8.338609404745512e-06
15,18.5319766998291,0.2104976624250412,0.9999488592147827,2.9220358555903658e-05
16,21.629724502563477,0.23291727900505066,0.999991774559021,1.0841540643014014e-05
17,19.56758689880371,0.21883459389209747,0.9999972581863403,7.482953151338734e-06
18,20.56686019897461,0.2252037078142166,0.9998959302902222,1.576106842549052e-05
19,19.10428810119629,0.21351096034049988,0.9999997615814209,1.725622314552311e-05
20,20.60319709777832,0.22639742493629456,0.9999703168869019,9.35461139306426e-06
21,19.66751480102539,0.21842803061008453,0.9999781847000122,5.395172593125608e-07
22,19.513080596923828,0.21700142323970795,0.9999909400939941,2.2043741410016082e-05
23,19.78561019897461,0.2201296091079712,0.9999902248382568,1.3826337408318068e-06
24,20.703125,0.22371727228164673,0.9999936819076538,1.221019942931889e-06
25,21.575218200683594,0.23439207673072815,0.9999929666519165,3.953156010538805e-06
26,23.16497039794922,0.24805183708667755,0.999998927116394,4.7641120204389154e-07
27,22.183866500854492,0.2365373969078064,0.9999991655349731,6.265535830607405e-06
28,20.421510696411133,0.22390587627887726,0.9999983310699463,4.636913672584342e-06
29,20.930233001708984,0.2273731827735901,0.9999604225158691,3.3125616027973592e-06
30,24.836483001708984,0.2585868537425995,0.9999945163726807,4.288883246772457e-06
31,29.369548797607422,0.2967623770236969,0.9999918937683105,2.4333619421668118e-06
32,27.83430290222168,0.285837322473526,0.9999665021896362,5.563861122936942e-06
33,32.24018859863281,0.3209349513053894,0.9999971389770508,3.6778701542061754e-06
34,34.4204216003418,0.33858200907707214,0.999985933303833,2.128290816472145e-06
35,38.762718200683594,0.37755894660949707,0.9999809265136719,2.7464918730402132e-06
