层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,33.057777404785156,0.33218637108802795,0.9999980926513672,0.00012540123134385794
1,4.242369174957275,0.0630265399813652,0.9999982118606567,5.9485344536369666e-05
2,27.952396392822266,0.28496065735816956,0.9999150037765503,8.395783515879884e-05
3,17.505451202392578,0.2303607165813446,0.9999717473983765,5.6437120292684995e-06
4,12.100290298461914,0.13005055487155914,0.999958872795105,3.050813393201679e-05
5,21.457122802734375,0.23102782666683197,0.9999843835830688,5.4373340390156955e-06
6,14.44404125213623,0.16631215810775757,0.9999537467956543,3.002167613885831e-05
7,14.889171600341797,0.17118287086486816,0.9998552799224854,5.173557292437181e-05
8,16.28815460205078,0.192588210105896,0.9999284744262695,1.2100020285288338e-05
9,14.99818229675293,0.18328417837619781,0.9999935626983643,1.2696241356024984e-05
10,17.28742790222168,0.20228290557861328,0.9999971389770508,7.609589829371544e-06
11,17.46002960205078,0.2041579782962799,0.9999996423721313,4.875801664638857e-07
12,20.457849502563477,0.22791752219200134,0.9999994039535522,1.2361165317997802e-06
13,20.067224502563477,0.22309952974319458,0.9999918937683105,1.0131623639608733e-05
14,20.657703399658203,0.22920727729797363,0.9999991655349731,7.137381317079416e-07
15,19.20421600341797,0.21913813054561615,0.9999758005142212,1.0045936505775899e-05
16,20.83938980102539,0.23020829260349274,0.9999822378158569,1.7334503354504704e-05
17,19.349565505981445,0.21935345232486725,0.9998807907104492,1.596532456460409e-05
18,20.503271102905273,0.22983431816101074,0.9999873638153076,3.678932262118906e-05
19,18.958940505981445,0.21533513069152832,0.9999991655349731,5.1503725444490556e-06
20,20.41242790222168,0.22722148895263672,0.999974250793457,9.444195711694192e-06
21,19.831031799316406,0.22264538705348969,0.9999946355819702,1.8844415308194584e-06
22,19.63117790222168,0.22052910923957825,0.9999897480010986,5.416523435997078e-06
23,19.940044403076172,0.22168700397014618,0.9999957084655762,2.0590955500665586e-06
24,20.712207794189453,0.22750477492809296,0.9999839067459106,3.6618475860450417e-06
25,22.211118698120117,0.24152174592018127,0.9999973773956299,2.4164480691979406e-06
26,24.582122802734375,0.26011401414871216,0.9999986886978149,3.241325714498089e-07
27,22.474565505981445,0.24183709919452667,0.999998927116394,4.0097261262417305e-06
28,21.729650497436523,0.23518162965774536,0.9999954700469971,5.3922740335110575e-06
29,21.32994270324707,0.2328995168209076,0.999976396560669,7.810583156242501e-06
30,26.44440460205078,0.27535468339920044,0.9999982118606567,2.840284196281573e-06
31,30.968385696411133,0.3116946816444397,0.9999847412109375,5.3803464652446564e-06
32,30.032703399658203,0.3032585382461548,0.9999947547912598,4.071363491675584e-06
33,34.03887939453125,0.33817270398139954,0.9999555349349976,1.5035736851132242e-06
34,35.27434539794922,0.3487478494644165,0.9999725818634033,2.0313698314566864e-06
35,37.872459411621094,0.3706219792366028,0.999982476234436,7.70539770655887e-07
