层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,34.3295783996582,0.3414440155029297,0.9999678134918213,0.00017586357716936618
1,5.314316749572754,0.08670134842395782,0.9999963045120239,6.79487275192514e-05
2,41.22456359863281,0.41961362957954407,0.9998468160629272,1.578758929099422e-05
3,11.773255348205566,0.18517974019050598,0.9998661279678345,2.552770274633076e-05
4,12.36373519897461,0.14238467812538147,0.9999837875366211,4.206465746392496e-05
5,21.484375,0.22920581698417664,0.9999909400939941,2.319661325600464e-05
6,15.016351699829102,0.17107248306274414,0.9999775886535645,1.7182001101900823e-05
7,14.734739303588867,0.16815273463726044,0.9999428987503052,1.9219789919588948e-06
8,15.77034854888916,0.18958765268325806,0.9999710321426392,2.072482129733544e-05
9,14.652978897094727,0.1787194162607193,0.9999934434890747,9.59789667831501e-06
10,16.52434539794922,0.19539505243301392,0.9999816417694092,2.2196984446054557e-06
11,17.205669403076172,0.19941729307174683,0.999998927116394,1.1062708836107049e-05
12,20.030885696411133,0.2235889583826065,0.9999978542327881,3.4660956771404017e-06
13,19.27688980102539,0.21738886833190918,0.999972939491272,5.500881798070623e-06
14,20.294330596923828,0.22658829391002655,0.9999961853027344,2.6734932134786504e-07
15,19.63117790222168,0.2205289751291275,0.999956488609314,1.2612044884008355e-05
16,20.503271102905273,0.23034344613552094,0.9994235038757324,2.2240392354433425e-05
17,18.831758499145508,0.2164091020822525,0.9999339580535889,3.139942782581784e-05
18,20.185319900512695,0.2266690731048584,0.9999104738235474,1.881167736428324e-05
19,18.377544403076172,0.21215730905532837,0.9999995231628418,9.661409421823919e-06
20,20.476016998291016,0.22911980748176575,0.999994158744812,2.8873928386019543e-06
21,19.831031799316406,0.2250206023454666,0.9999510049819946,1.3976774425827898e-05
22,20.3125,0.22550195455551147,0.9999732971191406,4.569149950839346e-06
23,20.99382209777832,0.23078729212284088,0.9999990463256836,4.075423021276947e-06
24,21.19367790222168,0.23254217207431793,0.9999668598175049,1.7658886690696818e-06
25,22.311046600341797,0.24301674962043762,0.999997615814209,8.852987889440556e-07
26,24.600292205810547,0.2598596513271332,0.999991774559021,3.964493316743756e-06
27,22.956031799316406,0.24464929103851318,0.9999984502792358,3.073074140047538e-06
28,21.875,0.23764383792877197,0.9999926090240479,4.5930246983516554e-07
29,21.929506301879883,0.2367822676897049,0.9999732971191406,1.8892370690082316e-06
30,25.962936401367188,0.26772427558898926,0.9999992847442627,1.3577455320046283e-06
31,31.159156799316406,0.31288665533065796,0.9999935626983643,4.998992153559811e-06
32,28.997093200683594,0.29398736357688904,0.9999775886535645,3.3889018595800735e-06
33,30.305233001708984,0.3033818006515503,0.9999910593032837,3.7876613987464225e-06
34,32.26744079589844,0.32022231817245483,0.9999889135360718,8.726199666853063e-06
35,36.546146392822266,0.3553712069988251,0.999982476234436,2.9910566468061006e-07
