层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,33.203125,0.33562466502189636,0.9999576807022095,7.772384560666978e-05
1,4.6693315505981445,0.09955523908138275,0.9998353719711304,6.977123121032491e-05
2,10.092659950256348,0.13547810912132263,0.9999356269836426,3.6695208109449595e-05
3,19.98546600341797,0.2485564649105072,0.9998925924301147,1.1982306205027271e-05
4,10.882994651794434,0.1339702606201172,0.9999816417694092,4.0362850995734334e-05
5,18.268531799316406,0.20718978345394135,0.9999933242797852,6.326660241029458e-06
6,12.817950248718262,0.15383347868919373,0.9997817873954773,1.5070711924636271e-05
7,12.609010696411133,0.15274447202682495,0.9998331069946289,2.64364844042575e-05
8,13.862646102905273,0.17340624332427979,0.9998008608818054,1.486893688706914e-05
9,12.908794403076172,0.16307076811790466,0.9997656941413879,2.319302802789025e-05
10,14.325944900512695,0.1766500324010849,0.9999366998672485,1.328275629930431e-05
11,15.288880348205566,0.18238574266433716,0.9999876022338867,7.3596665970399044e-06
12,16.978559494018555,0.19709455966949463,0.9999984502792358,5.075080480310135e-06
13,16.9694766998291,0.1979174017906189,0.9997952580451965,4.0169948078983e-06
14,18.32303810119629,0.21182368695735931,0.9999934434890747,2.382344746365561e-06
15,17.569042205810547,0.20281442999839783,0.9999310970306396,9.719677109387703e-06
16,18.88626480102539,0.21427616477012634,0.9996844530105591,1.5776588043081574e-05
17,18.059593200683594,0.208602637052536,0.9992187023162842,2.305537782376632e-05
18,19.213298797607422,0.21707703173160553,0.9999576807022095,1.1601056030485779e-05
19,17.396440505981445,0.20179708302021027,0.9999914169311523,2.5060792268050136e-06
20,18.586483001708984,0.21303677558898926,0.9998151659965515,1.1850787814182695e-05
21,18.51380729675293,0.21270880103111267,0.9999926090240479,5.310376764100511e-06
22,17.47819709777832,0.20547030866146088,0.9999876022338867,2.216113216491067e-06
23,19.27688980102539,0.21635331213474274,0.9999855756759644,2.1755847683380125e-06
24,18.88626480102539,0.21500365436077118,0.9999994039535522,1.5177571413005353e-06
25,20.966569900512695,0.23086747527122498,0.9999796152114868,5.349775619833963e-06
26,22.40188980102539,0.2405097633600235,0.9999880790710449,2.0445547761482885e-06
27,20.630451202392578,0.22681251168251038,0.9999978542327881,3.4421475447743433e-06
28,18.977108001708984,0.2142200917005539,0.9999725818634033,2.9979096325405408e-06
29,19.59484100341797,0.216688871383667,0.9999943971633911,3.855848262901418e-06
30,21.893169403076172,0.23480752110481262,0.999998927116394,2.277665544170304e-06
31,24.954578399658203,0.26249051094055176,0.9999858140945435,1.4364027265401091e-06
32,21.893169403076172,0.23409494757652283,0.9999696016311646,1.2570317267091013e-05
33,21.62063980102539,0.23322294652462006,0.9999735355377197,2.0913259959343122e-06
34,19.930957794189453,0.21995598077774048,0.9999953508377075,2.6764168978843372e-06
35,24.67296600341797,0.2591227889060974,0.9999904632568359,1.244350613660572e-07
