层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,31.140989303588867,0.3117462396621704,0.9999920129776001,0.00011266343790339306
1,5.132630825042725,0.10811410844326019,0.9999891519546509,0.0001598707603989169
2,30.632266998291016,0.3242206275463104,0.9999080896377563,9.626843529986218e-05
3,11.555233001708984,0.17711466550827026,0.9999933242797852,1.264204183826223e-05
4,11.564316749572754,0.13096553087234497,0.9999696016311646,5.925706500420347e-05
5,18.822673797607422,0.21342509984970093,0.9999635219573975,3.47455388691742e-05
6,13.299419403076172,0.15688076615333557,0.9999834299087524,1.327039808529662e-05
7,13.617369651794434,0.16053655743598938,0.9998904466629028,4.567916676023742e-06
8,15.443314552307129,0.18380959331989288,0.9999827146530151,1.3376480637816712e-05
9,13.889898300170898,0.17084963619709015,0.9999994039535522,1.0784567166410852e-05
10,16.05196189880371,0.1916675567626953,0.9999854564666748,2.620653140184004e-05
11,16.097383499145508,0.19046220183372498,0.9999996423721313,1.2377196298984927e-06
12,18.695493698120117,0.21006278693675995,0.9999994039535522,1.4741540326212998e-05
13,18.450218200683594,0.2072019726037979,0.9999955892562866,4.7998796617321204e-06
14,18.277616500854492,0.2076648622751236,0.9999996423721313,1.266131448574015e-06
15,16.987646102905273,0.19604745507240295,0.9999672174453735,2.1685276806238107e-05
16,19.712934494018555,0.21818159520626068,0.9998517036437988,1.1391276530048344e-05
17,18.050508499145508,0.20782040059566498,0.9999979734420776,6.264054263738217e-06
18,18.931684494018555,0.21340957283973694,0.9999768733978271,8.273260391433723e-06
19,17.877906799316406,0.20384769141674042,0.9999994039535522,2.324218257854227e-05
20,18.940771102905273,0.21515077352523804,0.9999412298202515,1.0742091944848653e-05
21,18.214025497436523,0.20715995132923126,0.9999663829803467,1.1504503163450863e-06
22,17.93241310119629,0.20384930074214935,0.9999865293502808,1.845305996539537e-05
23,18.404796600341797,0.20597320795059204,0.999995231628418,1.1832444215542637e-06
24,19.122455596923828,0.21280670166015625,0.999992847442627,7.69027508340514e-07
25,20.37609100341797,0.22300660610198975,0.9999953508377075,1.7137989516413654e-06
26,22.065771102905273,0.23865287005901337,0.9999988079071045,5.915009637647017e-07
27,21.03015899658203,0.22619092464447021,0.9999991655349731,3.0463254461210454e-06
28,19.385900497436523,0.21478697657585144,0.9999988079071045,2.8257406938791974e-06
29,20.557775497436523,0.22424136102199554,0.9999747276306152,4.7236580940079875e-06
30,23.446582794189453,0.24847345054149628,0.9999953508377075,1.9130441160086775e-06
31,27.87063980102539,0.28641271591186523,0.9999904632568359,2.2822425762569765e-06
32,26.689682006835938,0.27264270186424255,0.9999713897705078,5.144844180904329e-06
33,30.132631301879883,0.3014320433139801,0.9999977350234985,2.8206063689140137e-06
34,31.87681770324707,0.316871702671051,0.9999920129776001,3.161375161653268e-06
35,36.63698959350586,0.3582056760787964,0.9999903440475464,1.1678220062094624e-06
