层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,32.331031799316406,0.3259259760379791,0.9999827146530151,0.0001248800108442083
1,3.8971657752990723,0.0725487470626831,0.9999880790710449,4.5494256482925266e-05
2,41.942222595214844,0.4025875926017761,0.9999024868011475,3.581266719265841e-05
3,11.246366500854492,0.17091132700443268,0.9999614953994751,1.2873075320385396e-05
4,11.337209701538086,0.1241215243935585,0.9999769926071167,3.799432670348324e-05
5,19.249635696411133,0.21179775893688202,0.9999845027923584,2.0594392481143586e-05
6,13.82630729675293,0.15942300856113434,0.9999545812606812,3.0336732379510067e-05
7,14.253271102905273,0.16422176361083984,0.9999480247497559,1.4358946827996988e-05
8,15.09811019897461,0.18217307329177856,0.9998866319656372,2.4447117539239116e-05
9,13.862646102905273,0.17180386185646057,0.9999850988388062,1.648829857003875e-05
10,16.160974502563477,0.19081945717334747,0.9999924898147583,3.2804469810798764e-05
11,16.54251480102539,0.19448240101337433,0.9999997615814209,1.5071539394284628e-07
12,18.25944709777832,0.2099703848361969,0.9999988079071045,4.874941168964142e-06
13,18.450218200683594,0.20795932412147522,0.9999973773956299,8.258534762717318e-06
14,18.668241500854492,0.21364285051822662,0.9999974966049194,4.509729023993714e-06
15,17.73255729675293,0.20387114584445953,0.99998939037323,2.217503424617462e-05
16,19.603923797607422,0.2173626869916916,0.9999468326568604,3.7664845876861364e-05
17,18.023256301879883,0.20804518461227417,0.9999891519546509,5.55594988327357e-06
18,19.367733001708984,0.21858881413936615,0.9999692440032959,3.5275286791147664e-05
19,18.39571189880371,0.20992688834667206,0.9999991655349731,2.0977453459636308e-05
20,19.549419403076172,0.22033323347568512,0.9999743700027466,7.65005279390607e-06
21,19.503997802734375,0.2178325057029724,0.9999879598617554,1.2288338439248037e-05
22,19.17696189880371,0.21483197808265686,0.9999982118606567,5.550215064431541e-06
23,19.513080596923828,0.21858499944210052,0.9999990463256836,6.041632332198787e-07
24,19.27688980102539,0.21667569875717163,0.9999988079071045,3.497293846521643e-06
25,21.875,0.2351960986852646,0.9999985694885254,2.148721705452772e-06
26,23.700944900512695,0.25260141491889954,0.9999849796295166,2.999070602527354e-06
27,21.875,0.23742209374904633,0.999998927116394,2.6210211672150763e-06
28,21.175508499145508,0.23058867454528809,0.9999644756317139,4.314288617024431e-06
29,21.38444709777832,0.2288954108953476,0.9999966621398926,2.712043851715862e-06
30,25.499635696411133,0.2662343978881836,0.9999945163726807,5.0067019401467405e-06
31,30.15988540649414,0.3036971986293793,0.9999955892562866,6.223605396371568e-06
32,28.297603607177734,0.28875553607940674,0.9999896287918091,3.2037298751674825e-06
33,30.968385696411133,0.31254124641418457,0.9999620914459229,8.474199262309412e-07
34,31.313589096069336,0.31312939524650574,0.9999681711196899,1.622261265765701e-06
35,34.992733001708984,0.34608569741249084,0.9999834299087524,6.509098966489546e-07
