层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,33.239463806152344,0.3308974504470825,0.9999970197677612,0.00018381787231191993
1,4.351380825042725,0.09342924505472183,0.9999978542327881,7.107882265700027e-05
2,32.249271392822266,0.32984960079193115,0.9999599456787109,8.608910138718784e-05
3,11.891351699829102,0.17385835945606232,0.9999889135360718,1.0355745871493127e-05
4,11.337209701538086,0.1285363882780075,0.9999806880950928,4.077529956703074e-05
5,20.60319709777832,0.2221919596195221,0.9999643564224243,9.025626241054852e-06
6,13.898982048034668,0.1609227955341339,0.9999579191207886,5.178073115530424e-05
7,14.571221351623535,0.16746073961257935,0.9999518394470215,3.487131471047178e-05
8,16.13372039794922,0.19053049385547638,0.9999580383300781,1.267111838387791e-05
9,14.453125,0.17578504979610443,0.999990701675415,1.1330884262861218e-05
10,16.388080596923828,0.19399869441986084,0.9999924898147583,1.3009088434046134e-05
11,16.73328399658203,0.1979851871728897,0.9999996423721313,6.065000661692466e-07
12,18.940771102905273,0.21571676433086395,0.9999991655349731,7.202297069852648e-07
13,18.958940505981445,0.21557916700839996,0.9999858140945435,3.0165022053552093e-06
14,19.07703399658203,0.21556998789310455,0.9999986886978149,1.3712356121686753e-06
15,18.486555099487305,0.2084251195192337,0.999957799911499,2.2896218069945462e-05
16,19.404069900512695,0.21831093728542328,0.9999678134918213,2.5181796445394866e-05
17,18.286701202392578,0.20932719111442566,0.9999585151672363,1.1856236596941017e-05
18,19.585756301879883,0.21936406195163727,0.9999717473983765,2.3879016225691885e-05
19,18.468385696411133,0.20929405093193054,0.9999963045120239,1.4326160453492776e-05
20,19.29505729675293,0.21735404431819916,0.999945878982544,1.3598184523289092e-05
21,19.158794403076172,0.2158447951078415,0.999994158744812,7.612833996972768e-06
22,18.49563980102539,0.21129707992076874,0.9999933242797852,9.077998583961744e-06
23,18.940771102905273,0.21304671466350555,0.9999868869781494,1.6313947526214179e-06
24,19.37681770324707,0.2157660871744156,0.9999845027923584,5.045262696512509e-06
25,21.293603897094727,0.23310941457748413,0.999996542930603,5.335407422535354e-06
26,23.755451202392578,0.25332799553871155,0.9999983310699463,6.954041396056709e-07
27,21.566133499145508,0.23326165974140167,0.9999997615814209,4.447754236025503e-06
28,21.102832794189453,0.23020413517951965,0.9999980926513672,2.8222718810866354e-06
29,21.257266998291016,0.2293969988822937,0.9999775886535645,8.117568540910725e-06
30,26.19004249572754,0.26979225873947144,0.9999895095825195,5.675095735568902e-07
31,30.250728607177734,0.30520936846733093,0.9999901056289673,3.3086466828535777e-06
32,28.724563598632812,0.2909187972545624,0.9999988079071045,2.4104110707412474e-06
33,32.48546600341797,0.32194504141807556,0.9999936819076538,6.652409183516284e-07
34,33.01235580444336,0.3296491503715515,0.9999715089797974,9.855483540377463e-07
35,35.583213806152344,0.35356947779655457,0.9999910593032837,8.750239430810325e-07
